200 -6 -1.5 1
200 -6 -15.5 0
199.993 -6.00213 -15.3999 1
200 -6 -16 0
199.987 -5.97426 -15.8905 1
202 -6 19.5 0
202 -5.94063 19.5 1
204 -6 17.5 0
204 -5.98933 17.5 1
204 -6 -15.5 0
204.001 -6.01002 -15.4867 1
204 -6 -16 0
204.001 -5.99072 -15.9842 1
206 -6 -16 0
206.016 -5.98285 -15.8264 1
208 -6 6.5 0
208.028 -6.00535 6.50743 1
208 -6 6 0
208.03 -6.0048 6.01171 1
208 -6 5.5 0
208.027 -6 5.51162 1
208 -6 -15.5 0
208.013 -6.07453 -15.2771 1
208 -6 -16 0
208.024 -6.01099 -15.7637 1
208 -6 -16.5 0
208.032 -5.94634 -16.2611 1
210 -6 3.5 0
209.99 -5.97763 3.49649 1
210 -6 2.5 0
210.013 -5.99698 2.50696 1
210 -6 1 0
210.04 -5.98648 1.01448 1
210 -6 -4 0
209.997 -5.81282 -4.02074 1
210 -6 -6.5 0
210 -5.86233 -6.5 1
210 -6 -7 0
209.996 -5.89053 -6.9925 1
210 -6 -7.5 0
209.993 -5.90517 -7.48814 1
210 -6 -16.5 0
210.012 -5.99694 -16.3306 1
212 -6 0 0
212 -5.99095 0 1
212 -6 -3 0
211.995 -5.96099 -2.99599 1
212 -6 -3.5 0
211.978 -5.94031 -3.4941 1
212 -6 -4 0
211.983 -5.86807 -4.00376 1
212 -6 -6 0
211.968 -5.7003 -6.00767 1
212 -6 -6.5 0
211.971 -5.71671 -6.50203 1
212 -6 -16 0
211.999 -6.00807 -15.9429 1
214 -6 -7.5 0
214 -5.9128 -7.5 1
214 -6 -16 0
213.995 -6.01059 -15.7795 1
216 -6 15.5 0
216 -6 15.5 1
216 -6 1 0
215.996 -5.96258 1.04731 1
216 -6 -6.5 0
216 -5.9877 -6.5 1
216 -6 -16 0
216.014 -6.026 -15.8283 1
216 -6 -16.5 0
216.017 -5.98946 -16.337 1
218 -6 1 0
217.989 -5.94956 1.02522 1
218 -6 -15.5 0
217.995 -6.06193 -15.3246 1
220 -6 3.5 0
220.015 -5.90252 3.48914 1
220 -6 1 0
220.003 -5.9076 1.00762 1
220 -6 -17 0
220.009 -6 -16.9252 1
222 -6 6 0
222.007 -5.8819 5.98845 1
